order_date,order_id,fk_buyer_id,fk_depot_id,sales_order_status,creation_time,,,,,,,
1-Jul-21,134550,72600,3,Rejected,00:10.0,,,,,,,
1-Jul-21,133020,98332,9,Shipped,00:23.0,,,,,,,
1-Jul-21,132426,87136,8,Shipped,01:32.0,,,,,,,
1-Jul-21,297060,137536,1,Rejected,02:05.0,,,,,,,
1-Jul-21,122829,103952,5,Rejected,02:29.0,,,,,,,
1-Jul-21,136470,90940,2,Shipped,02:33.0,,,,,,,
1-Jul-21,136740,96808,4,Shipped,02:41.0,,,,,,,
1-Jul-21,133383,113960,1,Rejected,03:20.0,,,,,,,
1-Jul-21,127092,101600,2,Rejected,03:36.0,,,,,,,
1-Jul-21,132228,112896,1,Rejected,03:46.0,,,,,,,
1-Jul-21,297609,82088,8,Rejected,03:49.0,,,,,,,
1-Jul-21,137148,68384,8,Shipped,03:51.0,,,,,,,
1-Jul-21,122220,75540,3,Shipped,04:21.0,,,,,,,
1-Jul-21,130653,99416,3,Shipped,04:41.0,,,,,,,
1-Jul-21,121782,73232,5,Rejected,06:03.0,,,,,,,
1-Jul-21,134442,86256,1,Shipped,06:18.0,,,,,,,
1-Jul-21,127164,108256,2,Rejected,06:19.0,,,,,,,
1-Jul-21,135435,99576,9,Shipped,06:21.0,,,,,,,
1-Jul-21,124521,81164,3,Shipped,06:24.0,,,,,,,
1-Jul-21,121734,90500,4,Rejected,06:44.0,,,,,,,
1-Jul-21,133092,63952,3,Rejected,06:48.0,,,,,,,
1-Jul-21,298125,47336,8,Shipped,06:54.0,,,,,,,
1-Jul-21,126486,70960,1,Rejected,07:02.0,,,,,,,
1-Jul-21,122934,95696,2,Rejected,07:33.0,,,,,,,
1-Jul-21,297354,74332,2,Rejected,07:35.0,,,,,,,
1-Jul-21,131169,105456,2,Shipped,08:01.0,,,,,,,
1-Jul-21,136413,48096,8,Shipped,08:42.0,,,,,,,
1-Jul-21,138303,20932,1,Rejected,10:00.0,,,,,,,
1-Jul-21,123261,89240,8,Shipped,10:18.0,,,,,,,
1-Jul-21,128301,12336,1,Shipped,11:11.0,,,,,,,
1-Jul-21,133599,86836,3,Rejected,11:20.0,,,,,,,
1-Jul-21,122088,81772,8,Rejected,11:43.0,,,,,,,
1-Jul-21,121341,101560,4,Shipped,11:50.0,,,,,,,
1-Jul-21,131247,83964,3,Rejected,12:20.0,,,,,,,
1-Jul-21,125991,41920,9,Rejected,12:29.0,,,,,,,
1-Jul-21,127896,108772,3,Rejected,12:39.0,,,,,,,
1-Jul-21,128742,52096,8,Rejected,13:00.0,,,,,,,
1-Jul-21,137991,95116,2,Shipped,13:34.0,,,,,,,
1-Jul-21,123912,30004,1,Rejected,13:46.0,,,,,,,
1-Jul-21,133095,104128,9,Rejected,13:55.0,,,,,,,
1-Jul-21,132132,78208,2,Shipped,14:20.0,,,,,,,
1-Jul-21,132984,113600,3,Rejected,14:21.0,,,,,,,
1-Jul-21,137787,21452,1,Shipped,14:42.0,,,,,,,
1-Jul-21,127941,76516,8,Rejected,14:46.0,,,,,,,
1-Jul-21,134880,94168,3,Rejected,14:46.0,,,,,,,
1-Jul-21,296799,133916,9,Rejected,14:55.0,,,,,,,
1-Jul-21,297690,215888,5,Shipped,15:00.0,,,,,,,
1-Jul-21,129441,55240,8,Rejected,15:20.0,,,,,,,
1-Jul-21,134331,114356,2,Rejected,15:36.0,,,,,,,
1-Jul-21,125244,92656,5,Rejected,16:07.0,,,,,,,
1-Jul-21,123054,104080,2,Rejected,16:09.0,,,,,,,
1-Jul-21,133755,23140,1,Shipped,16:10.0,,,,,,,
1-Jul-21,297936,42336,5,Rejected,16:13.0,,,,,,,
1-Jul-21,136098,93132,7,Shipped,16:21.0,,,,,,,
1-Jul-21,128697,54684,9,Rejected,16:24.0,,,,,,,
1-Jul-21,134445,112588,1,Rejected,16:39.0,,,,,,,
1-Jul-21,130644,76092,1,Rejected,16:40.0,,,,,,,
1-Jul-21,125604,101892,5,Rejected,17:06.0,,,,,,,
1-Jul-21,125028,57952,5,Shipped,17:18.0,,,,,,,
1-Jul-21,134823,103448,3,Rejected,17:45.0,,,,,,,
1-Jul-21,132975,73600,2,Rejected,17:51.0,,,,,,,
1-Jul-21,122016,20592,1,Shipped,17:54.0,,,,,,,
1-Jul-21,133221,56324,8,Rejected,18:26.0,,,,,,,
1-Jul-21,120951,30776,5,Shipped,18:46.0,,,,,,,
1-Jul-21,132111,48300,8,Rejected,19:55.0,,,,,,,
1-Jul-21,298185,82928,9,Rejected,20:19.0,,,,,,,
1-Jul-21,296865,213024,1,Shipped,20:37.0,,,,,,,
1-Jul-21,127845,1520,1,Shipped,20:50.0,,,,,,,
1-Jul-21,296808,135780,3,Rejected,20:50.0,,,,,,,
1-Jul-21,137517,116828,4,Shipped,20:54.0,,,,,,,
1-Jul-21,129360,62452,4,Rejected,20:56.0,,,,,,,
1-Jul-21,137160,117248,9,Shipped,21:04.0,,,,,,,
1-Jul-21,136170,27880,5,Shipped,21:23.0,,,,,,,
1-Jul-21,130470,86520,2,Shipped,21:53.0,,,,,,,
1-Jul-21,297507,194128,4,Shipped,21:54.0,,,,,,,
1-Jul-21,125187,99180,9,Shipped,22:03.0,,,,,,,
1-Jul-21,131787,82228,5,Rejected,22:30.0,,,,,,,
1-Jul-21,135561,80524,3,Shipped,23:26.0,,,,,,,
1-Jul-21,130017,90560,8,Shipped,23:40.0,,,,,,,
1-Jul-21,135618,103940,8,Shipped,23:41.0,,,,,,,
1-Jul-21,126084,58216,1,Rejected,24:26.0,,,,,,,
1-Jul-21,130944,57004,9,Shipped,24:38.0,,,,,,,
1-Jul-21,138471,100240,9,Rejected,25:04.0,,,,,,,
1-Jul-21,297135,28200,5,Rejected,25:11.0,,,,,,,
1-Jul-21,120687,50560,9,Rejected,25:34.0,,,,,,,
1-Jul-21,127134,89400,3,Rejected,25:51.0,,,,,,,
1-Jul-21,120036,18632,1,Shipped,26:21.0,,,,,,,
1-Jul-21,135711,115992,1,Rejected,26:23.0,,,,,,,
1-Jul-21,125793,47808,5,Shipped,26:47.0,,,,,,,
1-Jul-21,129219,32760,5,Shipped,26:49.0,,,,,,,
1-Jul-21,298467,52948,8,Rejected,26:54.0,,,,,,,
1-Jul-21,123426,42860,1,Shipped,27:14.0,,,,,,,
1-Jul-21,128193,109352,1,Rejected,27:18.0,,,,,,,
1-Jul-21,130167,100632,3,Rejected,28:33.0,,,,,,,
1-Jul-21,135762,97712,8,Shipped,28:56.0,,,,,,,
1-Jul-21,135504,90268,2,Shipped,29:20.0,,,,,,,
1-Jul-21,125037,43344,1,Rejected,29:36.0,,,,,,,
1-Jul-21,123756,48032,8,Rejected,29:38.0,,,,,,,
1-Jul-21,137298,45868,9,Rejected,30:04.0,,,,,,,
1-Jul-21,128946,95092,9,Shipped,30:15.0,,,,,,,
1-Jul-21,132951,94300,1,Rejected,30:17.0,,,,,,,
1-Jul-21,123759,48572,9,Shipped,30:27.0,,,,,,,
1-Jul-21,135984,41452,8,Rejected,30:42.0,,,,,,,
1-Jul-21,124131,21332,1,Rejected,30:54.0,,,,,,,
1-Jul-21,297972,108752,1,Rejected,31:03.0,,,,,,,
1-Jul-21,297183,82780,10,Rejected,31:13.0,,,,,,,
1-Jul-21,138174,41076,1,Shipped,31:26.0,,,,,,,
1-Jul-21,131025,108752,1,Rejected,31:29.0,,,,,,,
1-Jul-21,135507,43844,9,Rejected,31:37.0,,,,,,,
1-Jul-21,297639,188116,1,Rejected,31:40.0,,,,,,,
1-Jul-21,128133,98648,3,Shipped,31:58.0,,,,,,,
1-Jul-21,124779,105912,3,Rejected,32:08.0,,,,,,,
1-Jul-21,122361,29056,1,Rejected,32:28.0,,,,,,,
1-Jul-21,128340,64932,2,Shipped,32:36.0,,,,,,,
1-Jul-21,136437,91172,9,Rejected,32:46.0,,,,,,,
1-Jul-21,298059,61616,9,Rejected,32:46.0,,,,,,,
1-Jul-21,131868,111340,9,Rejected,32:59.0,,,,,,,
1-Jul-21,125892,25920,1,Shipped,33:09.0,,,,,,,
1-Jul-21,130296,111260,8,Rejected,33:26.0,,,,,,,
1-Jul-21,121749,102372,3,Rejected,34:15.0,,,,,,,
1-Jul-21,130026,111152,4,Rejected,34:42.0,,,,,,,
1-Jul-21,122565,82088,8,Rejected,35:03.0,,,,,,,
1-Jul-21,297516,175932,1,Shipped,35:19.0,,,,,,,
1-Jul-21,124485,90392,2,Rejected,35:45.0,,,,,,,
1-Jul-21,124995,1032,1,Rejected,36:01.0,,,,,,,
1-Jul-21,297648,214776,11,Shipped,37:01.0,,,,,,,
1-Jul-21,137166,81684,2,Rejected,37:10.0,,,,,,,
1-Jul-21,128955,103568,1,Shipped,37:24.0,,,,,,,
1-Jul-21,133839,89920,2,Rejected,38:12.0,,,,,,,
1-Jul-21,128094,73072,1,Shipped,38:24.0,,,,,,,
1-Jul-21,127032,85964,3,Rejected,38:43.0,,,,,,,
1-Jul-21,137241,110172,9,Shipped,39:00.0,,,,,,,
1-Jul-21,133842,27580,1,Shipped,39:09.0,,,,,,,
1-Jul-21,298338,163000,11,Rejected,39:35.0,,,,,,,
1-Jul-21,297153,65864,9,Shipped,39:38.0,,,,,,,
1-Jul-21,138189,62796,1,Shipped,40:01.0,,,,,,,
1-Jul-21,134925,63844,9,Rejected,40:09.0,,,,,,,
1-Jul-21,134106,78040,1,Rejected,40:19.0,,,,,,,
1-Jul-21,137856,20936,1,Rejected,40:40.0,,,,,,,
1-Jul-21,125904,26912,1,Rejected,40:48.0,,,,,,,
1-Jul-21,130584,35676,1,Rejected,40:50.0,,,,,,,
1-Jul-21,128013,43272,8,Rejected,41:00.0,,,,,,,
1-Jul-21,133530,66856,3,Shipped,41:08.0,,,,,,,
1-Jul-21,127041,72212,1,Shipped,41:16.0,,,,,,,
1-Jul-21,124497,77732,4,Rejected,41:36.0,,,,,,,
1-Jul-21,136998,45844,9,Shipped,41:41.0,,,,,,,
1-Jul-21,121836,94528,5,Shipped,42:13.0,,,,,,,
1-Jul-21,133425,67552,3,Shipped,42:55.0,,,,,,,
1-Jul-21,134943,110256,1,Rejected,43:10.0,,,,,,,
1-Jul-21,127050,54880,8,Shipped,43:27.0,,,,,,,
1-Jul-21,134898,86340,9,Rejected,43:30.0,,,,,,,
1-Jul-21,125046,43344,1,Rejected,43:47.0,,,,,,,
1-Jul-21,128004,84428,8,Rejected,43:55.0,,,,,,,
1-Jul-21,122271,85584,8,Rejected,44:16.0,,,,,,,
1-Jul-21,136791,47956,1,Shipped,44:24.0,,,,,,,
1-Jul-21,132399,90444,3,Rejected,44:45.0,,,,,,,
1-Jul-21,128769,22292,1,Shipped,44:47.0,,,,,,,
1-Jul-21,130626,22200,1,Shipped,44:58.0,,,,,,,
1-Jul-21,129246,25544,1,Shipped,45:24.0,,,,,,,
1-Jul-21,127227,63652,3,Rejected,46:47.0,,,,,,,
1-Jul-21,130362,41772,5,Shipped,46:51.0,,,,,,,
1-Jul-21,297789,214900,10,Rejected,46:59.0,,,,,,,
1-Jul-21,125709,77396,1,Shipped,47:05.0,,,,,,,
1-Jul-21,127053,19272,1,Shipped,47:07.0,,,,,,,
1-Jul-21,134901,79652,8,Rejected,47:15.0,,,,,,,
1-Jul-21,126663,42516,1,Rejected,47:28.0,,,,,,,
1-Jul-21,125718,53676,5,Shipped,47:59.0,,,,,,,
1-Jul-21,129825,66832,3,Rejected,48:11.0,,,,,,,
1-Jul-21,122124,28316,1,Shipped,48:21.0,,,,,,,
1-Jul-21,136608,116788,1,Rejected,48:42.0,,,,,,,
1-Jul-21,122379,95308,3,Rejected,49:01.0,,,,,,,
1-Jul-21,298035,195112,1,Rejected,49:47.0,,,,,,,
1-Jul-21,136239,71628,2,Rejected,50:10.0,,,,,,,
1-Jul-21,128058,100708,8,Shipped,50:13.0,,,,,,,
1-Jul-21,137001,109536,9,Shipped,50:39.0,,,,,,,
