fk_order_date,order_item_id,fk_product_id,fk_order_id,ordered_quantity,order_quantity_accepted,rate
1-Jul-21,62661,10520,119958,1,0,4057.63
1-Jul-21,62698,11907,120036,1,1,3932.25
1-Jul-21,62742,10236,120147,1,1,1380
1-Jul-21,62778,8425,120225,1,1,3619.5
1-Jul-21,62781,8664,120234,5,0,2288.2
1-Jul-21,62815,9916,120318,1,0,2904.41
1-Jul-21,62817,11169,120318,1,0,5145
1-Jul-21,62825,1041,120336,1,0,4455
1-Jul-21,62890,7243,120450,1,0,3165
1-Jul-21,62912,8210,120495,1,0,12758
1-Jul-21,62919,12677,120504,2,2,2142.86
1-Jul-21,62941,1548,120543,1,1,10763
1-Jul-21,63106,11161,120882,1,0,6783
1-Jul-21,63107,11104,120885,1,0,11225
1-Jul-21,63119,11160,120912,1,0,6357
1-Jul-21,63133,12749,120933,1,0,4027.25
1-Jul-21,63143,7806,120951,1,1,3116
1-Jul-21,63177,10235,120999,1,0,1325
1-Jul-21,63217,7640,121065,3,0,12883.8
1-Jul-21,63266,3610,121152,3,0,12364
1-Jul-21,63296,7607,121212,1,0,6408
1-Jul-21,63297,12757,121215,3,3,3203.39
1-Jul-21,63318,3284,121257,3,0,3306
1-Jul-21,63331,7213,121284,2,0,2940
1-Jul-21,63376,8684,121389,1,0,2714
1-Jul-21,63418,9925,121467,1,0,3038
1-Jul-21,63457,11163,121539,1,0,4746
1-Jul-21,63520,1040,121611,1,0,3640
1-Jul-21,63552,7890,121647,4,4,2512
1-Jul-21,63574,9915,121674,1,0,2881
1-Jul-21,63587,8438,121695,2,0,3393
1-Jul-21,63597,3610,121707,1,1,7894
1-Jul-21,63598,11118,121710,2,0,2142
1-Jul-21,63605,8428,121716,2,0,1587
1-Jul-21,63651,8428,121809,25,0,1540
1-Jul-21,63658,7596,121827,10,0,137.61
1-Jul-21,63705,10235,121926,10,0,1325
1-Jul-21,63721,9925,121962,2,0,3038
1-Jul-21,63722,7666,121965,1,1,10678
1-Jul-21,63749,8219,122031,27,27,13288.2
1-Jul-21,63775,10236,122085,1,0,1380
1-Jul-21,63796,11140,122115,1,0,4137
1-Jul-21,63811,7504,122145,2,2,3856
1-Jul-21,63844,1038,122202,1,0,8030
1-Jul-21,63854,8219,122223,2,2,13488.3
1-Jul-21,63866,9925,122235,4,0,3038
1-Jul-21,63891,1041,122274,2,0,5738
1-Jul-21,63938,8210,122373,1,0,6694
1-Jul-21,63940,1039,122379,3,0,2478
1-Jul-21,63941,1041,122382,1,0,5004
1-Jul-21,63948,8210,122400,1,0,15106
1-Jul-21,63975,3615,122433,2,2,4353
1-Jul-21,64004,7556,122490,1,0,7852.89
1-Jul-21,64058,11156,122577,1,0,4460
1-Jul-21,64075,12407,122601,1,1,11271
1-Jul-21,64098,11107,122646,3,3,3213
1-Jul-21,64203,3624,122841,1,0,5062
1-Jul-21,64304,8425,123021,1,0,3619.5
1-Jul-21,64320,11154,123045,5,0,10594
1-Jul-21,64322,7772,123051,1,1,3578
1-Jul-21,64361,8444,123102,1,0,5872
1-Jul-21,64371,8425,123123,1,1,3522.2
1-Jul-21,64373,2862,123126,1,1,4200
1-Jul-21,64381,1805,123144,13,13,18732.9
1-Jul-21,64481,11105,123315,1,0,23015
1-Jul-21,64506,2862,123354,3,3,4200
1-Jul-21,64513,7607,123369,1,0,7047.46
1-Jul-21,64572,12652,123492,1,1,7203.4
1-Jul-21,64591,8210,123525,1,0,6694
1-Jul-21,64597,7666,123540,1,0,10678
1-Jul-21,64662,1040,123663,1,0,6705
1-Jul-21,64665,1040,123669,1,0,5208
1-Jul-21,64682,8425,123699,5,0,3468
1-Jul-21,64732,8209,123789,2,0,12935
1-Jul-21,64754,10235,123837,2,2,1324.5
1-Jul-21,64802,8425,123924,1,0,3522.2
1-Jul-21,64810,1043,123936,1,1,20309.7
1-Jul-21,64878,9919,124053,1,0,3844
1-Jul-21,64879,9919,124053,1,0,3666
1-Jul-21,64905,10546,124095,1,0,3752
1-Jul-21,64908,8425,124101,4,0,3468
1-Jul-21,64911,9916,124104,1,1,2619
1-Jul-21,64923,12678,124125,6,0,1761.9
1-Jul-21,64941,8428,124176,50,50,1734
1-Jul-21,64950,1041,124197,2,0,5279
1-Jul-21,64992,8444,124266,1,0,5741
1-Jul-21,65006,11240,124284,1,0,10240.7
1-Jul-21,65020,8428,124308,1,0,1587
1-Jul-21,65039,8325,124347,1,1,8983.05
1-Jul-21,65056,10975,124374,1,1,13542.7
1-Jul-21,65068,11731,124398,1,0,5229.63
1-Jul-21,65159,8444,124587,1,0,6858
1-Jul-21,65172,8322,124602,1,0,927
1-Jul-21,65246,10235,124734,2,0,1324.5
1-Jul-21,65269,10235,124794,3,3,1368.99
1-Jul-21,65340,2282,124944,1,1,4000
1-Jul-21,65344,11658,124956,1,0,1365
1-Jul-21,65379,7776,125028,1,1,2510
1-Jul-21,65389,12700,125046,3,0,7924
1-Jul-21,65393,8210,125052,8,8,14679
1-Jul-21,65475,10235,125208,5,5,1369.9
1-Jul-21,65488,10236,125235,4,4,1302.5
1-Jul-21,65582,7890,125433,1,0,2321
1-Jul-21,65629,11118,125514,1,0,2478
1-Jul-21,65639,3603,125529,1,0,5738
1-Jul-21,65640,3606,125529,1,0,4977
1-Jul-21,65684,11899,125598,1,0,11928.8
1-Jul-21,65685,12700,125601,1,0,7924
1-Jul-21,65708,1041,125640,1,0,5004
1-Jul-21,65718,12689,125661,1,1,2666.67
1-Jul-21,65747,9895,125721,2,0,1393
1-Jul-21,65818,1041,125853,1,0,4725
1-Jul-21,65860,1041,125922,2,0,5738
1-Jul-21,65911,1038,126021,1,0,6855
1-Jul-21,65917,7804,126030,1,0,1855
1-Jul-21,65948,12682,126102,1,0,2904.76
1-Jul-21,65995,7640,126222,1,0,13642.3
1-Jul-21,66002,3624,126234,5,0,4746
1-Jul-21,66005,10224,126240,1,0,4311.9
1-Jul-21,66024,1041,126279,1,0,4423
1-Jul-21,66055,10975,126342,1,0,12779.7
1-Jul-21,66063,10235,126360,2,2,1325
1-Jul-21,66129,3620,126483,1,0,5185
1-Jul-21,66141,7750,126504,3,3,169
1-Jul-21,66145,10236,126507,1,0,1302.5
1-Jul-21,66150,11178,126519,1,0,8547
1-Jul-21,66181,9919,126585,2,0,3055
1-Jul-21,66254,8210,126714,1,1,13007
1-Jul-21,66256,12713,126717,5,5,2400
1-Jul-21,66265,10235,126735,5,5,1325
1-Jul-21,66275,11731,126759,2,2,5229.63
1-Jul-21,66310,10235,126819,2,0,1369.9
1-Jul-21,66313,8425,126825,2,1,3884
1-Jul-21,66359,10235,126918,5,5,1369.9
1-Jul-21,66368,11152,126936,1,0,6038
1-Jul-21,66371,11152,126942,1,1,6955
1-Jul-21,66380,1038,126960,3,3,6985
1-Jul-21,66396,8219,126987,11,11,13601.7
1-Jul-21,66436,12700,127077,1,0,7924
1-Jul-21,66440,1548,127083,3,3,10509
1-Jul-21,66485,9925,127173,4,4,3038
1-Jul-21,66535,7666,127254,2,1,5636
1-Jul-21,66561,1043,127323,1,0,20310
1-Jul-21,66606,7530,127419,1,0,2733
1-Jul-21,66618,8434,127437,1,0,11251
1-Jul-21,66650,9919,127497,1,0,2907
1-Jul-21,66657,9919,127509,1,1,3666
1-Jul-21,66672,12678,127542,2,0,1761.9
1-Jul-21,66673,12682,127545,2,0,2904.76
1-Jul-21,66743,11118,127650,2,1,2734
1-Jul-21,66748,9925,127656,2,2,3038
1-Jul-21,66774,8457,127713,2,2,8316
1-Jul-21,66780,10235,127716,4,0,1368.99
1-Jul-21,66831,11146,127788,1,0,6979
1-Jul-21,66873,2282,127848,5,0,4000
1-Jul-21,66916,12480,127938,1,0,22560
1-Jul-21,66993,10225,128100,3,3,3997.5
1-Jul-21,67009,8210,128145,1,1,13007
1-Jul-21,67088,1038,128304,1,1,6855
1-Jul-21,67129,8425,128382,1,1,4406.78
1-Jul-21,67167,12652,128463,1,1,7203.4
1-Jul-21,67168,1039,128466,1,1,2236
1-Jul-21,67184,7802,128493,10,9,4904
1-Jul-21,67244,8432,128625,2,0,4244
1-Jul-21,67276,11106,128688,2,2,3560
1-Jul-21,67288,1038,128706,4,0,6854
1-Jul-21,67293,10235,128721,3,3,1368.99
1-Jul-21,67326,8424,128775,1,0,8250
1-Jul-21,67351,8425,128823,2,2,3983.05
1-Jul-21,67356,1040,128832,2,0,3551
1-Jul-21,67372,8389,128862,1,0,2620
1-Jul-21,67373,8354,128865,1,0,7765
1-Jul-21,67396,11155,128922,1,0,6725
1-Jul-21,67424,8684,128973,1,0,2482
1-Jul-21,67449,11146,129009,1,1,3669
1-Jul-21,67461,11172,129036,1,1,2342
1-Jul-21,67560,8444,129225,1,0,6293
1-Jul-21,67565,7640,129237,3,3,14695
1-Jul-21,67626,7533,129360,481,0,4882
1-Jul-21,67628,10235,129363,1,0,1325
1-Jul-21,67671,10235,129456,3,3,1324.5
1-Jul-21,67672,10236,129459,14,14,1257.76
1-Jul-21,67715,1041,129537,3,0,4066
1-Jul-21,67725,8420,129558,1,1,5756
1-Jul-21,67734,10235,129570,4,4,1369.9
1-Jul-21,67848,1043,129783,1,1,5320
1-Jul-21,67857,3568,129807,1,0,7206
1-Jul-21,67883,11155,129870,1,0,12506
1-Jul-21,67907,11131,129924,1,0,9913
1-Jul-21,67913,10248,129942,1,0,4830.5
1-Jul-21,67964,11143,130041,1,1,2810
1-Jul-21,67975,1548,130065,1,0,5127.12
1-Jul-21,67979,8444,130077,2,0,7120
1-Jul-21,67989,3266,130089,1,0,18857
1-Jul-21,68002,7802,130107,1,1,5114
1-Jul-21,68020,11107,130134,1,1,3213
1-Jul-21,68028,11143,130149,1,1,2507
1-Jul-21,68039,8411,130176,2,0,1450
1-Jul-21,68067,8444,130233,5,5,6108
1-Jul-21,68180,11146,130452,1,0,3648
1-Jul-21,68199,1548,130482,3,3,10509
1-Jul-21,68212,1038,130512,1,0,6855
1-Jul-21,68295,11658,130695,1,0,1365
1-Jul-21,68319,10975,130752,1,0,22008.5
1-Jul-21,68341,1548,130797,1,1,10509
1-Jul-21,68365,1038,130830,10,1,6724
1-Jul-21,68374,12800,130851,20,2,8
1-Jul-21,68429,1038,130938,1,0,8030
1-Jul-21,68456,8444,130980,1,1,6108
1-Jul-21,68458,8210,130980,1,1,6720
1-Jul-21,68484,7640,131034,1,0,14695
1-Jul-21,68511,9925,131085,5,0,3038
1-Jul-21,68540,7872,131139,1,1,1985
1-Jul-21,68612,9920,131259,1,0,3060
1-Jul-21,68637,3610,131313,1,0,12484
1-Jul-21,68649,9915,131331,4,4,2881
1-Jul-21,68729,9898,131487,1,0,3011
1-Jul-21,68753,9901,131538,1,0,2422
1-Jul-21,68771,10235,131577,5,5,1368.99
1-Jul-21,68794,7243,131607,1,0,3165
1-Jul-21,68796,10235,131613,2,2,1369.9
1-Jul-21,68801,3613,131619,1,1,12679
1-Jul-21,68843,8086,131661,1,1,1473
1-Jul-21,68876,9915,131706,3,0,2881
1-Jul-21,68885,9879,131730,1,0,9766
1-Jul-21,68915,8424,131799,1,0,9090
1-Jul-21,68935,1548,131832,1,1,10509
1-Jul-21,68981,8210,131931,1,1,12788
1-Jul-21,68988,9925,131940,2,2,3038
1-Jul-21,69043,8210,132030,1,1,14679
1-Jul-21,69069,12652,132084,1,1,7203.4
1-Jul-21,69126,12700,132189,1,0,11580
1-Jul-21,69128,11264,132195,1,0,3160
1-Jul-21,69166,11124,132279,1,0,1746
1-Jul-21,69197,8428,132330,100,0,1734
1-Jul-21,69251,1548,132429,2,2,10763
1-Jul-21,69262,8219,132450,7,7,13288.2
1-Jul-21,69357,7640,132600,1,1,13886
1-Jul-21,69360,8444,132609,1,0,7120
1-Jul-21,69393,11106,132687,1,1,3560
1-Jul-21,69409,10247,132723,1,0,6557.28
1-Jul-21,69415,10520,132729,1,1,3571.32
1-Jul-21,69426,11113,132744,1,0,3959
1-Jul-21,69454,8664,132783,1,0,2320
1-Jul-21,69480,12652,132828,2,2,7203.4
1-Jul-21,69566,8210,133002,10,10,12443
1-Jul-21,69689,8664,133215,5,5,2320
1-Jul-21,69711,8427,133266,1,0,6856
1-Jul-21,69729,9916,133302,1,0,2797
1-Jul-21,69730,9916,133302,2,0,2619
1-Jul-21,69760,11169,133353,1,1,5145
1-Jul-21,69778,10975,133395,1,1,23805.1
1-Jul-21,69789,11899,133422,1,1,12396.5
1-Jul-21,69830,529,133503,1,1,1650
1-Jul-21,69846,3613,133518,1,0,10434
1-Jul-21,69874,7637,133587,1,1,31566
1-Jul-21,69893,2862,133635,1,0,4200
1-Jul-21,69922,3284,133692,1,0,7211
1-Jul-21,69930,8325,133701,2,0,8983.05
1-Jul-21,69932,8325,133701,1,0,10635.6
1-Jul-21,69934,8384,133704,1,1,4658
1-Jul-21,69995,11172,133809,1,1,2657
1-Jul-21,70000,11163,133821,1,0,5701
1-Jul-21,70043,10224,133911,1,0,4311.9
1-Jul-21,70068,11134,133956,1,1,7875
1-Jul-21,70077,9925,133971,2,2,3038
1-Jul-21,70080,7640,133977,1,0,13886
1-Jul-21,70122,1043,134061,2,2,20796
1-Jul-21,70139,8374,134097,1,0,10171
1-Jul-21,70184,8437,134199,5,0,2053
1-Jul-21,70194,8423,134214,2,0,7600
1-Jul-21,70233,8219,134292,15,15,13488.3
1-Jul-21,70289,3603,134397,1,0,9798
1-Jul-21,70292,9915,134400,1,1,2881
1-Jul-21,70397,12800,134580,4,4,8
1-Jul-21,70429,11240,134631,2,0,10240.7
1-Jul-21,70452,1039,134676,3,0,2478
1-Jul-21,70515,11899,134814,1,0,12373
1-Jul-21,70528,9925,134853,5,0,4783
1-Jul-21,70530,10235,134859,1,1,1369.9
1-Jul-21,70534,7775,134865,2,0,5345
